source: https://buecker.baseball.cbssports.com/stats/stats-main?print_rows=9999
captured: 2026-09-01T09:01:51
---
ACTION|AVAIL|PLAYER|AB|R|H|1B|2B|3B|HR|RBI|BB|K|SB|CS|AVG|OBP|SLG|RANK
Action|Avail|Player|AB|R|H|1B|2B|3B|HR|RBI|BB|K|SB|CS|AVG|OBP|SLG|Rank
2211176|1B|FA|Rhys Hoskins 1B • CLE|14.2|1.7|3.4|1.9|0.7|0.0|0.8|2.3|1.7|4.3|0.1|0.0|.241|.330|.465|692
1765052|1B|FA|Paul Goldschmidt 1B • NYY|13.8|2.0|3.7|2.4|0.8|0.1|0.5|2.1|0.8|3.6|0.1|0.0|.269|.317|.445|693
26720082|3B|FA|Jordan Lawlar 3B,OF • ARI|14.0|2.0|3.6|2.4|0.7|0.1|0.4|1.9|1.2|3.2|0.4|0.1|.258|.320|.414|695
2066296|1B|FA|Dominic Smith 1B • ATL|15.8|2.1|3.9|2.7|0.6|0.1|0.6|2.4|1.2|3.6|0.1|0.0|.249|.304|.410|696
2184470|OF|FA|Taylor Ward OF • SEA|17.1|2.5|4.3|2.9|0.8|0.1|0.5|1.8|2.8|4.1|0.2|0.1|.253|.362|.401|697
2413942|SS|FA|Josh H. Smith 1B,2B,3B,SS • TOR|16.7|2.2|4.5|3.3|0.8|0.1|0.3|1.6|1.7|3.2|0.4|0.1|.271|.347|.392|698
28842583|1B|FA|Christian Encarnacion-Strand 1B,3B • BAL|14.2|1.7|3.5|2.0|0.8|0.0|0.7|2.3|1.2|4.1|0.1|0.0|.250|.314|.456|699
1894628|SS|FA|Javier Baez 3B,SS,OF • DET|14.4|2.2|3.9|2.6|0.9|0.1|0.4|2.0|0.5|3.1|0.2|0.1|.271|.301|.426|700
2250598|OF|FA|Joshua Lowe OF • LAA|15.8|2.1|3.6|2.6|0.6|0.1|0.4|1.7|1.4|4.4|0.7|0.1|.230|.296|.353|706
2931920|OF|W (9/2)|Griffin Conine OF • MIA|14.7|2.1|3.5|2.0|0.7|0.1|0.6|1.9|1.7|5.0|0.2|0.1|.237|.322|.427|708
29077615|OF|FA|Hector Rodriguez OF • CIN|17.9|2.1|3.9|2.4|0.7|0.1|0.7|2.0|1.8|5.6|0.4|0.1|.217|.293|.385|710
29085042|C|FA|Agustin Ramirez C • MIA|16.9|2.4|3.8|2.2|0.9|0.1|0.5|2.0|1.7|4.6|0.4|0.1|.222|.299|.382|711
29084550|OF|FA|Nathan Church OF • STL|15.4|1.9|3.9|2.7|0.7|0.2|0.4|1.9|1.2|3.5|0.4|0.1|.254|.308|.400|713
2507192|OF|FA|Austin Hays OF • SD|14.3|2.0|3.6|2.5|0.6|0.1|0.4|2.2|0.9|3.5|0.2|0.1|.252|.298|.403|714
2507339|C|FA|Keibert Ruiz C • WAS|15.6|2.1|4.2|2.8|1.0|0.0|0.4|2.2|0.9|2.0|0.1|0.1|.267|.308|.411|715
26719666|3B|FA|Max Muncy 2B,3B • ATH|16.0|2.2|3.8|2.5|0.6|0.1|0.5|2.0|0.9|5.4|0.3|0.1|.238|.293|.391|716
29090728|SS|FA|Chase Meidroth 2B,SS • CHW|17.7|2.6|4.7|3.5|0.9|0.0|0.3|1.7|1.7|4.0|0.2|0.1|.266|.336|.369|717
3117936|OF|FA|Kameron Misner OF • PHI|16.3|1.8|3.7|2.7|0.5|0.2|0.4|1.9|1.3|5.8|0.7|0.1|.230|.289|.357|718
1953522|U|FA|Marcell Ozuna DH • PIT|15.5|1.9|3.7|2.4|0.6|0.0|0.8|2.2|2.0|4.7|0.0|0.0|.240|.329|.423|719
2876077|SS|FA|Gabriel Arias 2B,3B,SS • CHC|15.3|1.9|3.7|2.3|0.8|0.0|0.5|1.9|0.9|6.4|0.4|0.1|.238|.287|.393|720
29086431|OF|FA|Javier Sanoja 2B,3B,OF • MIA|15.2|1.7|3.9|2.3|1.1|0.1|0.4|2.2|1.0|2.2|0.4|0.1|.258|.304|.421|721
29426037|2B|FA|Christian Moore 2B • LAA|18.2|2.1|4.3|3.0|0.7|0.1|0.5|2.1|1.6|4.7|0.4|0.1|.238|.306|.370|722
2122086|3B|FA|Isiah Kiner-Falefa 2B,3B,SS • BOS|13.4|2.0|3.6|2.7|0.6|0.1|0.2|1.5|0.9|2.1|0.5|0.2|.273|.325|.376|724
29084390|C|FA|Mickey Gasper C • BOS|12.4|1.9|3.2|2.0|0.7|0.1|0.5|2.0|1.7|2.5|0.1|0.1|.262|.358|.452|725
2932590|3B|FA|Blaze Alexander 3B,OF • BAL|13.8|1.9|3.6|2.5|0.7|0.1|0.4|1.7|1.1|4.3|0.4|0.2|.262|.327|.401|726
26615370|OF|FA|Petey Halpin OF • CLE|12.3|1.6|3.2|2.0|0.6|0.3|0.4|1.3|1.0|2.7|0.6|0.1|.263|.326|.459|727
2066810|3B|FA|Ryan McMahon 3B • NYY|14.0|2.0|3.5|2.2|0.7|0.0|0.6|2.0|1.3|4.3|0.1|0.1|.248|.317|.425|728
1947839|C|FA|J.T. Realmuto C • PHI|19.5|2.3|4.5|3.1|0.9|0.0|0.5|2.2|1.2|5.0|0.2|0.0|.232|.292|.364|729
2932653|OF|FA|Carlos Cortes OF • ATH|16.2|1.8|4.1|2.8|0.8|0.1|0.5|2.3|1.2|3.5|0.1|0.0|.257|.312|.411|730
2483273|C|FA|Sean Murphy C • ATL|16.6|2.0|3.5|1.9|0.7|0.0|0.9|2.2|1.5|5.7|0.0|0.0|.212|.290|.418|731
2782922|OF|FA|Jake Fraley OF • TB|13.9|1.7|3.6|2.2|0.9|0.0|0.5|1.4|1.4|3.4|0.5|0.1|.257|.327|.422|732
2050861|2B|FA|Ildemaro Vargas 1B,2B • ARI|14.7|2.1|3.8|2.7|0.6|0.1|0.3|2.2|0.8|2.0|0.2|0.1|.256|.298|.386|733
26615344|2B|FA|Luisangel Acuna 2B,SS,OF • CHW|14.4|1.8|3.4|2.5|0.6|0.1|0.2|1.4|0.9|3.1|0.9|0.3|.238|.287|.338|734
3166487|SS|FA|Masyn Winn SS • STL|17.3|2.1|4.4|3.1|0.9|0.1|0.3|1.9|1.6|4.2|0.4|0.1|.256|.324|.370|735
29075715|OF|FA|Jordan Beck OF • COL|17.3|2.0|4.0|2.5|0.9|0.3|0.4|1.8|1.5|5.7|0.5|0.2|.233|.297|.390|737
26911690|SS|FA|Joseph Ortiz 3B,SS • MIL|13.3|1.9|3.3|2.3|0.5|0.1|0.4|1.9|1.1|2.5|0.4|0.1|.248|.307|.388|738
3173109|OF|W (9/2)|Zac Veen OF • COL|14.5|1.8|3.4|2.1|0.7|0.1|0.6|1.8|1.2|4.5|0.4|0.1|.235|.300|.411|740
29644435|SS|FA|Joshua Kuroda-Grauer SS • ATH|14.6|2.0|3.9|2.8|0.7|0.0|0.3|1.7|1.0|3.2|0.3|0.1|.268|.321|.389|741
2932056|OF|FA|Alek Thomas OF • LAD|16.8|2.1|3.8|2.3|1.0|0.1|0.4|1.9|1.0|4.1|0.4|0.1|.227|.279|.376|743
28841684|OF|FA|Jacob Young OF • WAS|15.2|2.0|3.4|2.5|0.6|0.1|0.3|1.8|1.3|3.2|0.7|0.2|.227|.302|.334|744
26643937|SS|FA|Denzer Guzman 3B,SS • LAA|14.8|1.9|3.7|2.4|0.7|0.1|0.5|1.7|1.3|3.5|0.4|0.1|.246|.309|.392|745
2837711|U|FA|Jared Young 1B • NYM|15.0|1.8|4.0|2.3|1.0|0.2|0.5|1.9|1.2|3.5|0.1|0.0|.265|.330|.450|747
2804019|C|FA|Miguel Amaya C • CHC|14.4|2.1|3.5|2.1|0.9|0.0|0.5|2.3|1.2|4.3|0.0|0.0|.243|.321|.402|749
2837638|3B|FA|Mark Vientos 1B,3B • NYM|14.7|1.6|3.4|2.0|0.6|0.0|0.8|2.3|0.9|4.4|0.0|0.0|.231|.281|.432|750
26911682|2B|FA|Shay Whitcomb 2B • SF|16.9|2.0|3.8|2.3|0.8|0.1|0.6|2.2|1.3|4.4|0.2|0.1|.222|.280|.380|751
2794938|3B|FA|Zach McKinstry 2B,3B,SS,OF • DET|14.9|2.1|3.9|2.5|0.8|0.3|0.3|1.6|1.5|2.9|0.3|0.2|.260|.329|.413|752
29077660|OF|FA|Luis Lara OF • MIL|11.2|1.8|2.9|1.9|0.5|0.1|0.4|1.8|1.2|2.7|0.3|0.1|.257|.329|.416|753
29155728|C|FA|Kyle Teel C • CHW|15.2|2.0|3.5|2.4|0.6|0.0|0.5|2.3|1.7|5.1|0.1|0.0|.233|.321|.373|756
2169895|2B|FA|Jeff McNeil 1B,2B,OF • ATH|16.4|1.9|4.2|3.0|0.8|0.1|0.4|2.1|1.1|2.3|0.2|0.1|.255|.305|.378|757
2932828|OF|FA|Kyle Isbel OF • KC|15.2|1.9|3.7|2.5|0.7|0.1|0.4|1.8|1.0|3.7|0.3|0.1|.246|.295|.387|758
2837635|U|FA|Nelson Velazquez OF • HOU|11.8|1.6|2.9|1.7|0.5|0.0|0.7|1.7|1.2|3.5|0.1|0.0|.246|.319|.473|759
2447496|2B|FA|Jake Cronenworth 2B • SD|15.9|2.1|3.8|2.7|0.7|0.1|0.3|2.0|1.9|4.0|0.3|0.1|.241|.334|.354|760
29404846|3B|FA|Charles McAdoo 3B • TOR|11.7|1.6|3.1|2.0|0.6|0.0|0.5|1.8|1.1|2.5|0.1|0.0|.270|.338|.452|761
2910605|OF|FA|Samad Taylor OF • SD|11.7|1.6|3.3|2.5|0.5|0.0|0.3|1.4|1.2|2.6|0.4|0.1|.281|.350|.396|764
50041032|2B|FA|Sung-Mun Song 2B • SD|11.7|1.6|2.7|1.9|0.5|0.0|0.3|1.6|1.3|2.5|0.7|0.2|.235|.312|.359|766
3117539|3B|FA|Brett Baty 2B,3B,OF • NYM|15.5|1.9|3.7|2.4|0.7|0.1|0.5|1.9|1.5|4.7|0.2|0.0|.236|.306|.384|767
26615330|2B|FA|Michael Massey 2B • KC|14.4|1.9|3.8|2.6|0.8|0.0|0.4|1.7|0.8|2.7|0.2|0.0|.265|.304|.407|768
29321911|OF|FA|Jonah Cox OF • SF|11.2|1.5|2.8|1.8|0.5|0.1|0.4|1.4|1.0|2.9|0.5|0.2|.251|.318|.418|769
2915816|OF|FA|Eli White OF • BOS|11.0|1.7|2.7|1.7|0.5|0.1|0.4|1.7|0.7|2.9|0.3|0.1|.248|.300|.426|770
28846865|OF|FA|Ronny Simon OF • PIT|12.5|1.7|3.2|2.1|0.6|0.1|0.4|1.6|1.1|3.2|0.3|0.1|.253|.317|.397|771
2184447|C|FA|Tyler Stephenson C • CIN|16.6|1.7|3.8|2.2|0.9|0.0|0.7|2.3|1.9|5.6|0.0|0.0|.229|.312|.409|772
26911671|3B|FA|Connor Norby 1B,3B • COL|17.4|1.9|3.9|2.3|1.1|0.0|0.5|1.8|1.7|6.5|0.4|0.2|.222|.305|.371|773
26719565|OF|FA|Colton Cowser OF • BAL|14.2|1.7|3.0|1.9|0.4|0.0|0.7|1.7|1.4|5.7|0.4|0.1|.210|.285|.382|774
3152036|C|FA|Francisco Alvarez C • NYM|15.2|1.7|3.7|2.3|0.6|0.0|0.7|2.0|1.6|5.0|0.0|0.0|.241|.321|.421|775
2932748|U|FA|David Fry OF • CLE|14.4|1.5|3.6|2.3|0.6|0.0|0.7|1.7|1.3|3.6|0.1|0.0|.246|.314|.424|776
3117536|OF|W (9/2)|J.J. Bleday OF • CIN|14.7|1.8|3.1|1.8|0.6|0.1|0.7|1.9|1.9|4.3|0.2|0.1|.211|.305|.400|777
