source: https://buecker.baseball.cbssports.com/teams/roster-report/<team>/<period>/ (periods 1-20)
captured: 2026-08-08T11:23:20
---
Like a Nightmare|10|active|P|Noah Schultz P • CHW
Like a Nightmare|10|active|P|Emmet Sheehan P • LAD
Like a Nightmare|10|active|P|Lucas Erceg P • KC
Like a Nightmare|10|active|P|Andrew Painter P • PHI
Like a Nightmare|10|bench|P|Edward Cabrera P • CHC
Like a Nightmare|10|bench|P|Yusei Kikuchi P • LAA
Like a Nightmare|11|active|C|Keibert Ruiz C • WAS
Like a Nightmare|11|active|1B|Freddie Freeman 1B • LAD
Like a Nightmare|11|active|2B|Ketel Marte 2B • ARI
Like a Nightmare|11|active|3B|Manny Machado 3B • SD
Like a Nightmare|11|active|SS|Bobby Witt SS • KC
Like a Nightmare|11|active|MI|Brice Turang 2B • MIL
Like a Nightmare|11|active|CI|Miguel Vargas 1B,3B • CHW
Like a Nightmare|11|active|OF|Byron Buxton OF • MIN
Like a Nightmare|11|active|OF|Jackson Merrill OF • SD
Like a Nightmare|11|active|OF|Ceddanne Rafaela 2B,OF • BOS
Like a Nightmare|11|active|OF|Taylor Ward OF • SEA
Like a Nightmare|11|active|U|Jazz Chisholm Jr. 2B,3B • NYY
Like a Nightmare|11|bench|C|Ryan Jeffers C • MIN
Like a Nightmare|11|active|P|Braxton Ashcraft P • PIT
Like a Nightmare|11|active|P|Bryan Baker P • TB
Like a Nightmare|11|active|P|Shane Baz P • BAL
Like a Nightmare|11|active|P|David Bednar P • NYY
Like a Nightmare|11|active|P|Pete Fairbanks P • MIA
Like a Nightmare|11|active|P|Merrill Kelly P • ARI
Like a Nightmare|11|active|P|Bryce Miller P • SEA
Like a Nightmare|11|active|P|Andrew Painter P • PHI
Like a Nightmare|11|active|P|Emmet Sheehan P • LAD
Like a Nightmare|11|active|P|Reid Detmers P • LAA
Like a Nightmare|11|active|P|Lucas Erceg P • KC
Like a Nightmare|11|bench|P|Edward Cabrera P • CHC
Like a Nightmare|11|bench|P|Yusei Kikuchi P • LAA
Like a Nightmare|11|bench|P|Noah Schultz P • CHW
Like a Nightmare|12|active|C|Keibert Ruiz C • WAS
Like a Nightmare|12|active|1B|Freddie Freeman 1B • LAD
Like a Nightmare|12|active|2B|Ketel Marte 2B • ARI
Like a Nightmare|12|active|3B|Miguel Vargas 1B,3B • CHW
Like a Nightmare|12|active|SS|Bobby Witt SS • KC
Like a Nightmare|12|active|MI|Brice Turang 2B • MIL
Like a Nightmare|12|active|CI|Spencer Torkelson 1B • DET
Like a Nightmare|12|active|OF|Byron Buxton OF • MIN
Like a Nightmare|12|active|OF|Jackson Merrill OF • SD
