=== Period 1 (Wed, Mar 25 - Sun, Mar 29) ===
Rank|Team|Batting|Pitching|Total|Dif|Behind
Batting Breakdown TeamHRPtsDif Young Guns1413.07.5 Maga Doge1011.54.0 Like a Nightmare1011.510.0 Magnum GI99.0-0.5 Runtime Terror99.03.5 Big Sticks99.0-3.5 Simba's Dublin Green Sox76.55.0 Dawg76.5-6.0 Trex63.5-7.5 Long Balls63.50.0 Guillotine63.50.0 Gashouse Gang63.5-6.0 Rieken Havoc51.0-6.5 TeamOBPPtsDif Magnum GI.402113.07.0 Young Guns.367912.07.0 Runtime Terror.342111.02.0 Gashouse Gang.333310.08.0 Dawg.33089.0-3.0 Trex.32758.00.0 Big Sticks.31887.0-3.0 Long Balls.31426.0-1.0 Simba's Dublin Green Sox.31235.04.0 Maga Doge.29634.00.0 Rieken Havoc.28283.0-10.0 Guillotine.28142.0-9.0 Like a Nightmare.25091.0-2.0 TeamRPtsDif Young Guns5013.06.0 Magnum GI4412.04.0 Trex3911.05.0 Runtime Terror3610.0-1.0 Guillotine358.54.0 Gashouse Gang358.5-1.0 Maga Doge337.02.5 Big Sticks326.0-3.5 Dawg315.0-7.0 Like a Nightmare294.02.0 Long Balls283.00.0 Rieken Havoc242.0-11.0 Simba's Dublin Green Sox211.00.0 TeamRBIPtsDif Magnum GI4313.06.0 Young Guns3911.54.5 Runtime Terror3911.5-0.5 Gashouse Gang3810.00.5 Maga Doge339.04.0 Simba's Dublin Green Sox328.05.0 Trex317.0-6.0 Big Sticks295.5-1.5 Like a Nightmare295.54.5 Guillotine264.02.0 Rieken Havoc242.5-8.5 Dawg242.5-1.5 Long Balls211.0-8.5 TeamSBPtsDif Rieken Havoc713.08.5 Runtime Terror611.510.0 Maga Doge611.57.0 Magnum GI59.5-1.5 Trex59.51.5 Long Balls46.01.5 Simba's Dublin Green Sox46.0-2.0 Dawg46.0-5.0 Guillotine46.0-5.0 Gashouse Gang46.0-2.0 Big Sticks33.0-10.0 Young Guns21.5-3.0 Like a Nightmare21.50.0||Pitching Breakdown TeamERAPtsDif Long Balls2.23813.04.0 Rieken Havoc2.34812.05.0 Simba's Dublin Green Sox2.45411.05.0 Magnum GI2.68210.00.0 Trex2.7309.06.0 Guillotine3.0288.0-4.0 Dawg3.1157.02.0 Young Guns3.4776.05.0 Like a Nightmare3.7675.03.0 Big Sticks3.9654.0-7.0 Maga Doge4.8213.0-5.0 Runtime Terror5.0082.0-11.0 Gashouse Gang5.4001.0-3.0 TeamKPtsDif Long Balls8213.04.0 Trex5712.09.5 Magnum GI5311.04.0 Big Sticks5010.0-1.5 Young Guns489.08.0 Dawg478.0-2.0 Rieken Havoc467.01.0 Runtime Terror456.03.5 Simba's Dublin Green Sox434.5-7.0 Like a Nightmare434.5-0.5 Maga Doge403.0-10.0 Guillotine381.5-6.5 Gashouse Gang381.5-2.5 TeamSPtsDif Simba's Dublin Green Sox413.01.0 Magnum GI311.59.0 Long Balls311.54.5 Trex27.00.0 Rieken Havoc27.00.0 Dawg27.0-5.0 Maga Doge27.0-5.0 Like a Nightmare27.0-3.0 Guillotine27.04.5 Gashouse Gang27.00.0 Young Guns12.0-0.5 Runtime Terror12.0-5.0 Big Sticks12.0-0.5 TeamWHIPPtsDif Magnum GI0.874213.03.0 Rieken Havoc1.021712.05.0 Guillotine1.093511.00.0 Long Balls1.093910.0-3.0 Dawg1.10779.0-3.0 Young Guns1.13647.56.5 Simba's Dublin Green Sox1.13647.54.5 Big Sticks1.15386.00.0 Like a Nightmare1.20935.00.0 Maga Doge1.23214.0-4.0 Trex1.24723.0-1.0 Runtime Terror1.35482.0-7.0 Gashouse Gang1.50001.0-1.0 TeamWQSPtsDif Magnum GI912.01.0 Rieken Havoc912.0-0.5 Big Sticks912.08.0 Trex79.01.5 Long Balls79.01.5 Like a Nightmare79.01.5 Simba's Dublin Green Sox67.04.0 Dawg56.0-1.5 Young Guns44.53.0 Gashouse Gang44.5-3.0 Maga Doge33.0-9.5 Runtime Terror21.5-6.0 Guillotine21.50.0
Team|HR|Pts|Dif
Young Guns|14|13.0|7.5
Maga Doge|10|11.5|4.0
Like a Nightmare|10|11.5|10.0
Magnum GI|9|9.0|-0.5
Runtime Terror|9|9.0|3.5
Big Sticks|9|9.0|-3.5
Simba's Dublin Green Sox|7|6.5|5.0
Dawg|7|6.5|-6.0
