source: https://buecker.baseball.cbssports.com/stats/stats-main/fa:P/period-22:p/standard/projections?print_rows=9999
captured: 2026-08-22T20:24:42
---
ACTION|AVAIL|PLAYER|INNS|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|RANK
Action|Avail|Player|INNs|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|Rank
1225651|P|FA|Max Scherzer P • TOR|4.2|1.0|1.0|0.3|0.0|0.2|0.4|0.0|0.0|0.0|3.8|1.3|3.9|3.98|1.12|214
2837541|P|FA|Bennett Sousa P • HOU|2.2|2.5|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.7|3.0|1.1|2.3|3.12|1.24|216
28850997|P|FA|Cameron Booser P • TB|2.1|2.4|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.6|2.5|0.7|1.5|2.71|0.95|217
3055522|P|FA|Bryan Abreu P • HOU|2.2|2.5|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.9|3.3|1.5|1.7|3.25|1.20|218
2449982|P|FA|A.J. Minter P • MIN|2.0|1.8|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.4|1.6|0.3|1.4|1.87|0.84|223
28920004|P|FA|Kumar Rocker P • TEX|4.2|1.0|1.0|0.3|0.0|0.2|0.3|0.0|0.0|0.0|4.3|1.5|4.4|4.11|1.27|224
29033792|P|FA|Brent Headrick P • NYY|2.0|2.1|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.7|2.7|0.7|1.8|1.84|1.21|226
28840203|P|FA|Kevin Kelly P • TB|2.1|2.6|0.0|0.0|0.0|0.1|0.1|0.0|0.0|1.1|2.0|0.4|1.9|2.83|1.00|228
29342267|P|FA|Peyton Gray P • TEX|2.0|1.8|0.0|0.0|0.0|0.3|0.0|0.0|0.0|0.4|2.0|0.6|1.8|3.52|1.23|229
26615409|P|FA|Justin Martinez P • ARI|2.0|2.2|0.0|0.0|0.0|0.1|0.2|0.3|0.1|0.5|2.9|1.4|1.5|3.19|1.45|230
2250616|P|FA|Anthony Kay P • CHW|5.0|1.0|1.0|0.2|0.0|0.4|0.2|0.0|0.0|0.0|4.0|2.0|5.0|4.33|1.39|233
2933070|P|FA|Erik Sabrowski P • CLE|2.0|2.1|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.8|2.8|1.2|1.1|2.54|1.13|236
2036146|P|FA|Kirby Yates P • PIT|2.0|2.4|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.2|2.7|0.8|1.5|3.75|1.18|238
2507333|P|FA|Shane Bieber P • TOR|5.0|1.0|1.0|0.4|0.0|0.3|0.2|0.0|0.0|0.0|4.2|1.6|5.0|4.53|1.33|239
29662264|P|FA|Bradgley Rodriguez P • SD|2.0|1.8|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.4|2.0|0.6|1.4|2.02|0.97|241
2167502|P|FA|Erick Fedde P • CHW|5.0|1.0|1.0|0.2|0.0|0.3|0.2|0.0|0.0|0.0|3.8|1.8|4.8|4.12|1.32|242
2933171|P|FA|Alex Vesia P • LAD|2.0|2.0|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.8|2.2|1.0|1.0|2.43|0.97|243
1784975|P|FA|Albert Suarez P • BAL|2.1|0.9|0.0|0.0|0.0|0.2|0.0|0.0|0.0|0.2|1.3|0.6|1.6|2.85|0.94|244
2824548|P|FA|Juan Morillo P • ARI|2.0|2.3|0.0|0.0|0.0|0.1|0.1|0.2|0.0|0.6|2.3|0.8|1.5|2.64|1.14|245
29075749|P|FA|Orion Kerkering P • PHI|2.0|2.2|0.0|0.0|0.0|0.2|0.0|0.0|0.0|0.7|2.1|0.9|1.5|3.06|1.21|246
2453262|P|FA|Bryan Hudson P • CHW|3.1|3.0|1.0|0.0|0.0|0.2|0.2|0.0|0.0|0.5|3.7|1.3|3.2|3.84|1.37|249
2931904|P|FA|Jonathan Bowlan P • PHI|2.0|1.7|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.4|2.0|0.5|1.3|2.73|0.92|250
2933107|P|FA|Dylan Smith P • SF|2.0|2.2|0.0|0.0|0.0|0.0|0.1|0.5|0.2|0.1|2.8|1.2|1.8|3.32|1.46|251
2228208|P|FA|Tim Mayza P • PHI|2.0|1.6|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.1|1.4|0.4|1.3|2.71|0.82|254
28841142|P|FA|Yennier Cano P • BAL|2.1|2.4|0.0|0.0|0.0|0.1|0.1|0.2|0.0|0.7|2.0|0.7|2.0|3.35|1.12|256
3152730|P|FA|Lake Bachar P • PIT|2.2|2.1|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|2.8|1.0|2.0|3.81|1.12|260
50037917|P|FA|Spencer Miles P • TOR|2.2|1.5|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|2.6|0.7|2.4|3.23|1.17|261
28862951|P|FA|Tanner Gordon P • COL|5.0|1.1|1.0|0.2|0.0|0.2|0.4|0.0|0.0|0.0|4.2|1.1|5.5|4.08|1.32|262
26754137|P|FA|Jovani Moran P • BOS|2.0|1.6|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.2|2.2|0.9|1.2|3.14|1.07|263
2167335|P|FA|Antonio Senzatela P • MIL|3.2|2.2|0.0|0.0|0.0|0.5|0.1|0.0|0.0|0.5|2.7|1.2|4.3|4.96|1.50|264
1961735|P|FA|Caleb Thielbar P • CHC|2.0|1.9|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.4|1.7|0.5|1.3|3.24|0.89|265
2932827|P|FA|Jake Irvin P • WAS|5.1|1.0|1.0|0.2|0.0|0.2|0.4|0.0|0.0|0.0|4.4|1.6|4.9|4.66|1.23|267
29342260|P|FA|Alec Gamboa P • BOS|5.1|1.2|1.0|0.4|0.0|0.3|0.3|0.0|0.0|0.0|4.4|1.8|5.9|4.24|1.43|271
3088370|P|FA|Rico Garcia P • BAL|2.1|2.7|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.9|3.0|0.9|1.8|4.06|1.19|277
2825274|P|FA|Yohan Ramirez P • PIT|2.1|2.1|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.2|3.0|1.4|1.9|3.81|1.44|279
29662259|P|FA|Luis Gastelum P • STL|2.1|1.9|0.0|0.0|0.0|0.2|0.2|0.0|0.0|0.2|2.4|0.6|1.8|4.96|1.06|280
28842449|P|FA|Nathan Lavender P • NYM|2.0|3.0|0.0|0.0|0.0|0.1|0.1|0.0|0.0|1.0|2.7|0.9|1.6|3.18|1.23|281
27022826|P|FA|Colin Holderman P • CLE|1.2|1.6|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.4|1.4|0.6|1.1|2.79|1.02|282
26719591|P|FA|Andrew Painter P • PHI|4.2|1.0|1.0|0.2|0.0|0.2|0.2|0.0|0.0|0.0|4.1|1.3|5.1|4.27|1.39|283
3055543|P|FA|Brock Burke P • CIN|2.1|2.6|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.6|2.4|1.2|1.9|3.19|1.33|285
2942982|P|FA|Ryan Rolison P • CHC|2.0|1.3|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.2|1.4|0.7|1.5|2.97|1.11|289
1733867|P|FA|Robert Stock P • NYM|5.0|1.0|1.0|0.3|0.0|0.2|0.3|0.0|0.0|0.0|5.0|2.0|5.1|4.49|1.43|290
29674787|P|FA|Ryan Johnson P • LAA|5.1|1.3|1.0|0.2|0.0|0.2|0.5|0.0|0.0|0.0|4.4|1.9|5.0|4.60|1.30|291
3085906|P|FA|Kevin Ginkel P • ARI|2.0|2.2|0.0|0.0|0.0|0.1|0.1|0.2|0.0|0.5|1.9|0.6|1.8|4.09|1.19|293
29086774|P|FA|Jack Dreyer P • LAD|1.1|1.2|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.2|1.4|0.4|0.9|2.66|0.95|294
